time,open,high,low,close,volume
2019-03-08 20:00:00,173.06,173.06,173.01,173.01,1248
2019-03-08 19:57:00,173.07,173.07,173.07,173.07,320
2019-03-08 19:52:00,173.17,173.19,173.17,173.19,1242
2019-03-08 19:49:00,173.06,173.06,173.06,173.06,100
2019-03-08 19:21:00,173.15,173.15,173.15,173.15,125
2019-03-08 19:03:00,173.1,173.15,173.1,173.15,615
2019-03-08 18:44:00,173.0,173.0,173.0,173.0,300
2019-03-08 18:43:00,173.0,173.0,173.0,173.0,125
2019-03-08 18:42:00,173.06,173.06,173.0,173.0,1500
2019-03-08 18:28:00,173.1,173.1,173.1,173.1,200
2019-03-08 18:26:00,173.1,173.1,173.1,173.1,150
2019-03-08 18:17:00,173.06,173.06,173.05,173.05,680
2019-03-08 18:12:00,173.1,173.1,173.1,173.1,269
2019-03-08 18:10:00,173.05,173.1,173.05,173.1,500
2019-03-08 18:08:00,173.1,173.1,173.1,173.1,320
2019-03-08 18:04:00,173.05,173.05,173.05,173.05,300
2019-03-08 18:02:00,173.1,173.1,173.1,173.1,100
2019-03-08 17:59:00,173.1,173.1,173.1,173.1,496
2019-03-08 17:55:00,173.1,173.1,173.1,173.1,487
2019-03-08 17:53:00,173.05,173.05,173.05,173.05,150
2019-03-08 17:43:00,173.05,173.05,173.05,173.05,181
2019-03-08 17:41:00,173.1,173.1,173.1,173.1,1109
2019-03-08 17:40:00,173.05,173.05,173.05,173.05,612
2019-03-08 17:31:00,173.07,173.07,173.07,173.07,102
2019-03-08 17:30:00,173.1,173.1,173.1,173.1,487
2019-03-08 17:28:00,173.1,173.1,173.1,173.1,120
2019-03-08 17:27:00,173.18,173.18,173.18,173.18,180
2019-03-08 17:24:00,173.12,173.12,173.12,173.12,1462
2019-03-08 17:21:00,173.12,173.12,173.12,173.12,198
2019-03-08 17:19:00,173.1499,173.15,173.1499,173.15,414
2019-03-08 17:14:00,173.18,173.18,173.18,173.18,3020
2019-03-08 17:11:00,173.15,173.15,173.15,173.15,500
2019-03-08 17:10:00,173.15,173.15,173.15,173.15,220
2019-03-08 17:07:00,173.1,173.1,173.1,173.1,201
2019-03-08 17:04:00,173.1,173.1,173.1,173.1,106
2019-03-08 17:00:00,173.16,173.16,173.16,173.16,451
2019-03-08 16:59:00,173.16,173.16,173.16,173.16,613
2019-03-08 16:50:00,173.09,173.09,173.09,173.09,17042
2019-03-08 16:49:00,173.05,173.05,173.04,173.04,1305
2019-03-08 16:48:00,173.11,173.11,173.09,173.09,2000
2019-03-08 16:47:00,173.13,173.13,173.11,173.11,2104
